L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,800.571956,1.245763,0.938170,0.770000,0.650000,1.685000,1.882000,8495.967773,1946.858032,45.769001,1.010000,0.318153,0.007462,0.919927,25.470467,0.597408,73.646804
120,577.889088,1.727115,0.950060,0.800000,0.680000,2.480000,2.840000,10433.388672,2245.043213,58.261627,1.009000,0.689809,0.009407,1.027739,39.863314,0.543637,59.391904
140,497.527688,2.006603,0.958710,0.830000,0.680000,2.992000,3.448000,12307.865234,2510.780029,70.929253,1.009000,0.917106,0.011435,1.077866,45.628582,0.568901,53.626834
160,542.470893,1.840054,0.965890,0.850000,0.700000,2.750000,3.096000,14438.101562,2785.368164,85.835007,1.018000,0.805717,0.013090,1.021043,43.707776,0.710089,55.388588
180,556.101329,1.794902,0.970290,0.870000,0.720000,2.558000,2.827000,16467.658203,3043.145264,100.557503,1.012000,0.755179,0.015759,1.023786,41.995627,0.876333,56.932879
200,500.614774,1.994162,0.973580,0.880000,0.740000,2.864000,3.362000,18603.712891,3344.012207,116.345505,1.015000,0.903062,0.018142,1.072806,45.208611,0.908238,53.706236
220,376.256061,2.654439,0.976540,0.890000,0.760000,4.005000,4.579000,20730.416016,3658.606201,132.525635,1.010000,1.474432,0.020746,1.159039,55.476379,0.780590,43.609564
240,396.359001,2.519729,0.978600,0.900000,0.770000,3.959000,4.572000,23024.242188,3968.784180,150.449127,1.007000,1.365769,0.023271,1.130471,54.133489,0.922370,44.807235
260,452.397909,2.207086,0.980750,0.910000,0.780000,3.106000,3.404000,25382.400391,4244.436035,169.738632,1.018000,1.088443,0.025697,1.092758,49.240936,1.162548,49.436162
280,425.317417,2.347814,0.982550,0.920000,0.800000,3.346000,3.784000,27568.242188,4554.579102,187.973129,1.013000,1.204206,0.029082,1.114283,51.216988,1.236911,47.392411
300,382.426881,2.611602,0.983830,0.930000,0.800000,3.747000,4.325000,29851.671875,4875.670410,207.205505,1.019000,1.433655,0.031935,1.145805,54.826813,1.221288,43.818677
320,411.524376,2.426648,0.984920,0.930000,0.810000,3.369000,3.703000,32219.531250,5167.028320,227.886383,1.018000,1.257895,0.035025,1.133482,51.765426,1.441369,46.645566
340,400.753501,2.491944,0.985920,0.930000,0.820000,3.479000,3.820000,34540.398438,5481.790039,248.103516,1.020000,1.318061,0.038157,1.135467,52.821761,1.529155,45.504221
360,389.160026,2.566294,0.986710,0.940000,0.840000,3.510000,3.808000,36876.300781,5797.515137,269.269135,1.021000,1.371008,0.042069,1.153011,53.354166,1.637174,44.870564
380,375.559679,2.659385,0.987250,0.940000,0.840000,3.616000,3.959000,39160.285156,6109.466309,289.952271,1.013000,1.446765,0.045518,1.166855,54.334658,1.709479,43.822355
400,366.793351,2.723010,0.987950,0.940000,0.840000,3.686000,4.081000,41478.707031,6427.512207,311.800751,1.012000,1.501943,0.048855,1.171942,55.090284,1.791980,42.986044
420,357.256819,2.795781,0.988600,0.950000,0.850000,3.779000,4.181000,43797.339844,6730.484375,333.816895,1.017000,1.559014,0.052997,1.183556,55.696850,1.893358,42.283331
440,344.883390,2.896167,0.989160,0.950000,0.850000,3.889000,4.219000,46069.835938,7045.709473,355.462769,1.016000,1.639935,0.057436,1.198543,56.558618,1.980880,41.335768
460,335.146939,2.980438,0.989650,0.950000,0.860000,3.993000,4.328000,48411.230469,7360.538574,377.915771,1.017000,1.716593,0.061866,1.201721,57.531090,2.073422,40.275310
480,327.024679,3.054518,0.990210,0.960000,0.860000,4.075000,4.389000,50692.058594,7662.700195,400.479401,1.007000,1.777294,0.065343,1.211601,58.121905,2.136890,39.622336
500,308.587452,3.237206,0.990420,0.960000,0.870000,4.359000,6.802001,52895.937500,7963.505371,422.224030,1.014000,1.942866,0.069496,1.224573,59.954395,2.144549,37.788783
520,310.003478,3.222466,0.990890,0.960000,0.860000,4.302000,4.620000,55243.332031,8281.607422,446.295776,1.008000,1.928151,0.073794,1.220278,59.773356,2.287636,37.829043
540,301.939822,3.308565,0.991170,0.960000,0.870000,4.343000,4.728000,57366.964844,8564.894531,468.407013,1.015000,1.993736,0.080189,1.234325,60.198816,2.421211,37.269178
560,295.314115,3.382858,0.991450,0.960000,0.880000,4.446000,4.906000,59525.847656,8857.094727,491.164154,1.016000,2.063143,0.084125,1.235251,60.927518,2.484324,36.478718
580,286.531052,3.486699,0.991770,0.960000,0.890000,4.606000,4.974000,61695.105469,9152.397461,513.494873,1.018000,2.155892,0.090242,1.240227,61.773004,2.585711,35.536354
600,280.648099,3.559847,0.991990,0.960000,0.880000,4.703000,5.120000,63790.128906,9436.155273,535.573792,1.018000,2.211170,0.095792,1.252603,62.056071,2.688372,35.154053
620,274.163971,3.644131,0.992330,0.960000,0.890000,4.776000,5.112000,65898.875000,9709.556641,558.156128,1.018000,2.292109,0.100769,1.250896,62.841358,2.762724,34.295067
640,268.148161,3.725975,0.992480,0.970000,0.890000,4.911000,5.403000,67988.976562,9994.691406,580.933533,1.010000,2.370870,0.105685,1.249049,63.574452,2.833937,33.493018
660,262.804106,3.801789,0.992760,0.970000,0.890000,4.946000,5.306000,69987.023438,10266.511719,602.696045,1.019000,2.431258,0.111909,1.258337,63.894451,2.941012,33.069607
