L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,650.718092,1.533406,0.961240,0.810000,0.650000,1.801000,1.918000,16904.224609,2424.935059,100.156258,1.046000,0.790742,0.011401,0.731094,51.455038,0.741895,47.573633
120,570.418756,1.749646,0.967530,0.840000,0.670000,2.054000,2.192000,19537.781250,2790.202148,120.144882,1.033000,0.985152,0.014412,0.749856,56.194945,0.822097,42.773206
140,520.781887,1.916825,0.971710,0.860000,0.710000,2.288000,2.434000,22071.660156,3147.730225,140.127625,1.029000,1.132369,0.017361,0.766851,58.971704,0.904150,39.936196
160,446.194894,2.237812,0.975200,0.880000,0.730000,2.772000,3.057000,24506.808594,3475.647217,160.126511,1.029000,1.423850,0.020343,0.793391,63.531463,0.907687,35.400680
180,452.363316,2.207235,0.977750,0.890000,0.730000,2.710000,2.928000,26883.787109,3793.374268,180.126129,1.033000,1.389122,0.024053,0.793794,62.838773,1.088063,35.908314
200,356.617153,2.800764,0.979210,0.900000,0.750000,3.685000,4.193000,29185.953125,4120.651367,200.101379,1.031000,1.953650,0.027755,0.819107,69.670527,0.989775,29.210746
220,340.166480,2.936357,0.981110,0.910000,0.750000,3.951000,4.321000,31453.039062,4424.506348,220.124756,1.028000,2.077145,0.031066,0.827900,70.657506,1.056759,28.162372
240,398.450944,2.506357,0.982580,0.910000,0.780000,3.101000,3.349000,33673.863281,4719.312012,240.126755,1.021000,1.654714,0.035072,0.816275,65.932230,1.397460,32.524559
260,394.331055,2.532546,0.983840,0.920000,0.790000,3.107000,3.284000,35898.250000,5022.831055,260.108887,1.026000,1.671904,0.039286,0.821105,65.928351,1.549156,32.378701
280,376.894664,2.649879,0.984880,0.920000,0.800000,3.268000,3.611000,38056.882812,5318.362305,280.119019,1.023000,1.772105,0.043893,0.833617,66.789673,1.654316,31.418570
300,367.589301,2.717076,0.985780,0.930000,0.820000,3.377000,3.634000,40211.765625,5616.316406,300.117401,1.030000,1.831137,0.048144,0.837527,67.310644,1.769726,30.786589
320,355.367848,2.810633,0.986570,0.940000,0.820000,3.494000,3.716000,42360.457031,5913.606445,320.114502,1.023000,1.914499,0.052756,0.843096,68.035149,1.874773,29.960913
