L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,800.627616,1.245643,0.949930,0.790000,0.650000,1.630000,1.749000,10713.994141,2109.492188,60.554005,1.021000,0.378229,0.008357,0.858772,30.282089,0.669069,68.755623
120,676.432189,1.475005,0.959610,0.820000,0.670000,1.960000,2.156000,13010.194336,2429.563232,76.072876,1.020000,0.566483,0.010538,0.897720,38.318703,0.712847,60.724645
140,620.891052,1.607186,0.966400,0.840000,0.700000,2.150000,2.360000,15327.024414,2753.277100,92.838753,1.020000,0.670686,0.012858,0.923521,41.642264,0.798322,57.340580
160,563.612265,1.770934,0.970930,0.860000,0.710000,2.433000,2.831000,17656.794922,3062.983154,109.985008,1.015000,0.805426,0.015096,0.950249,45.394817,0.850826,53.557210
180,424.333265,2.353249,0.974450,0.880000,0.740000,3.315000,3.759000,19931.101562,3409.897217,127.147003,1.017000,1.299062,0.017512,1.036469,55.123523,0.743106,43.980807
200,365.941596,2.729322,0.976900,0.890000,0.760000,3.900000,4.305000,22333.466797,3738.365234,145.869003,1.016000,1.650400,0.019995,1.058722,60.394998,0.731691,38.743043
220,381.245068,2.619602,0.978890,0.900000,0.760000,3.896000,4.480000,24795.669922,4064.458252,165.962265,1.017000,1.556604,0.022684,1.040192,59.344747,0.864829,39.656821
240,457.428831,2.182766,0.980730,0.910000,0.780000,2.956000,3.269000,27348.601562,4373.280273,187.263504,1.011000,1.161148,0.024924,0.996539,53.114261,1.140108,45.584583
260,445.841447,2.239583,0.982540,0.910000,0.780000,2.972000,3.304000,29823.734375,4700.496094,208.386765,1.015000,1.195287,0.028413,1.015730,53.290827,1.266761,45.285449
280,430.214605,2.321036,0.983950,0.920000,0.810000,3.054000,3.350000,32341.044922,5043.808105,230.172256,1.026000,1.265188,0.031801,1.023943,54.430245,1.368125,44.051511
