L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,93.061945,10.742119,0.921530,0.670000,0.510000,17.571001,21.327002,18525.800781,2670.199219,106.529503,1.000000,9.800245,0.010659,0.930853,91.202984,0.099199,8.662698
100,310.845224,3.213766,0.921390,0.670000,0.520000,4.360000,7.808001,18479.796875,2663.563232,106.415878,1.000000,2.360934,0.010335,0.842310,73.388492,0.321258,26.182810
100,436.479665,2.287757,0.921760,0.660000,0.510000,3.124000,3.760000,18467.582031,2646.258057,106.710007,1.000000,1.537169,0.010425,0.740008,67.094300,0.455044,32.299839
100,485.053724,2.058293,0.922100,0.670000,0.510000,2.800000,3.491000,18433.476562,2632.427246,106.731133,1.000000,1.302036,0.010618,0.745533,63.155743,0.515040,36.162332
100,516.085170,1.934340,0.922170,0.670000,0.510000,2.515000,2.830000,18432.789062,2629.678223,106.761505,1.000000,1.178844,0.010736,0.744627,60.838402,0.554056,38.429120
100,539.232139,1.851179,0.922060,0.660000,0.520000,2.351000,2.927000,18429.533203,2636.458008,106.744759,1.000000,1.104107,0.010420,0.736488,59.537018,0.561884,39.713818
100,457.319608,2.183355,0.922010,0.680000,0.510000,3.018000,3.624000,18445.441406,2632.593018,106.734383,1.000000,1.415868,0.010541,0.756797,64.750400,0.482048,34.609792
120,279.536051,3.574061,0.931480,0.700000,0.550000,5.463000,6.380000,21316.990234,3057.587158,126.349129,1.000000,2.783548,0.013124,0.777212,77.810205,0.366849,21.725881
140,295.203172,3.384187,0.939570,0.730000,0.560000,5.088000,6.004000,24084.425781,3426.421143,146.161255,1.000000,2.593291,0.015802,0.774965,76.554781,0.466477,22.877207
160,307.406784,3.249672,0.945930,0.740000,0.590000,4.487000,5.417000,26710.410156,3775.475098,166.210632,1.000000,2.446866,0.019198,0.783475,75.218329,0.590172,24.084558
180,309.285546,3.229938,0.949860,0.770000,0.620000,4.309000,5.111000,29355.695312,4131.243164,186.080261,1.000000,2.415079,0.022223,0.792419,74.694891,0.687310,24.508366
200,293.510535,3.403718,0.954540,0.780000,0.630000,4.477000,4.937000,31884.253906,4468.930176,206.055634,1.000000,2.569896,0.026349,0.807295,75.429148,0.773380,23.694961
