L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,561.076324,1.778956,0.866699,0.610000,0.480000,2.767000,3.344000,7967.581055,2097.389893,39.726624,1.015000,0.701059,0.006832,1.070814,39.334780,0.383348,60.080819
120,711.271152,1.402514,0.891189,0.670000,0.520000,2.075000,2.335000,9975.789062,2369.586914,51.410374,1.016000,0.473411,0.008497,0.920249,33.672348,0.604333,65.454673
140,681.968069,1.462968,0.908219,0.710000,0.570000,2.083000,2.390000,11933.610352,2639.092041,63.202126,1.018000,0.514485,0.010213,0.937995,35.086226,0.696503,63.968245
160,648.539129,1.538535,0.921429,0.730000,0.580000,2.231000,2.518000,14042.042969,2925.870117,76.268753,1.014000,0.576732,0.012102,0.949413,37.403306,0.784839,61.573167
180,606.377155,1.645698,0.931028,0.750000,0.600000,2.380000,2.630000,16190.655273,3223.323975,90.023750,1.014000,0.658401,0.014550,0.972560,39.923933,0.882263,58.973812
200,535.715780,1.863208,0.938448,0.770000,0.620000,2.854000,3.154000,18335.255859,3517.767090,104.078125,1.019000,0.827499,0.016412,1.019052,44.330435,0.879218,54.592212
