L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,537.017077,1.858857,0.892870,0.650000,0.520000,2.838000,3.247000,10257.233398,2201.278076,53.386124,1.033000,0.835358,0.007728,1.015642,44.860172,0.414987,54.541732
120,656.837461,1.519108,0.913649,0.690000,0.540000,2.125000,2.390000,12795.575195,2539.647949,68.850876,1.034000,0.571530,0.009628,0.937790,37.540207,0.632423,61.597586
140,633.585045,1.574960,0.925808,0.720000,0.580000,2.176000,2.367000,15205.334961,2863.048096,84.217247,1.037000,0.615692,0.011621,0.947544,39.009303,0.736274,60.034962
160,583.379688,1.710758,0.935288,0.750000,0.580000,2.367000,2.620000,17711.718750,3211.079102,100.766373,1.050000,0.721176,0.013843,0.975600,42.071965,0.807576,56.914509
180,548.860782,1.818603,0.942198,0.760000,0.600000,2.519000,2.736000,20227.603516,3546.556885,117.857376,1.035000,0.792640,0.016366,1.009501,43.504913,0.898266,55.407550
200,446.310527,2.237228,0.947498,0.790000,0.620000,3.210000,3.447000,22714.884766,3906.669922,135.132996,1.034000,1.151859,0.018348,1.066897,51.408671,0.818911,47.616722
