L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,91.365668,10.941648,0.950770,0.770000,0.610000,20.896002,25.814001,32427.708984,2526.920166,100.008446,1.042000,9.919143,0.017464,1.004287,90.626916,0.159558,9.175731
120,265.875627,3.757827,0.958070,0.800000,0.640000,4.903000,5.393000,37392.570312,2860.658203,120.053322,1.055000,2.823402,0.021806,0.912362,75.067388,0.579781,24.257491
140,304.853644,3.276875,0.963340,0.820000,0.680000,3.942000,4.359000,42190.531250,3179.008057,140.057129,1.050000,2.307762,0.027095,0.941641,70.352977,0.826011,28.706265
160,314.664207,3.174588,0.967710,0.850000,0.690000,3.735000,4.009000,46927.964844,3515.202148,160.062881,1.033000,2.180180,0.032478,0.961634,68.602448,1.021969,30.259192
180,310.450911,3.217772,0.970750,0.850000,0.700000,3.768000,3.987000,51655.347656,3855.845215,180.062943,1.034000,2.204162,0.037869,0.975398,68.428399,1.175661,30.281322
200,304.430736,3.281434,0.973200,0.860000,0.730000,3.858000,4.137000,56204.132812,4181.612305,200.062576,1.038000,2.251521,0.043584,0.985980,68.543216,1.326834,30.016248
220,297.071075,3.362821,0.975660,0.880000,0.730000,3.974000,4.198000,60710.734375,4502.069336,220.061203,1.030000,2.323629,0.049447,0.989386,69.028286,1.468915,29.391792
240,286.188884,3.490787,0.977250,0.880000,0.750000,4.149000,4.321000,65142.214844,4816.842285,240.061447,1.038000,2.438971,0.055699,0.995748,69.800640,1.594033,28.497188
260,233.472251,4.279768,0.978720,0.890000,0.760000,5.471000,5.970000,69494.781250,5140.839355,260.027069,1.032000,3.209545,0.063849,1.005876,74.933967,1.490696,23.484420
280,198.106488,5.044408,0.980180,0.900000,0.770000,6.221000,6.774000,73793.601562,5471.018066,280.043884,1.031000,3.973325,0.068110,1.002449,78.714142,1.349294,19.859156
300,252.690045,3.954060,0.981470,0.900000,0.770000,6.091000,6.600000,77972.476562,5755.076172,300.058716,1.023000,2.889080,0.077511,0.987154,73.004177,1.958634,24.944393
320,282.881830,3.531596,0.982580,0.910000,0.790000,4.143000,4.381000,82167.320312,6057.104492,320.058014,1.023000,2.463217,0.083400,0.984695,69.679947,2.359228,27.855245
340,273.643873,3.650999,0.983550,0.910000,0.800000,4.326000,4.541000,86313.367188,6352.668457,340.053589,1.018000,2.573091,0.091641,0.985943,70.411053,2.507692,26.979722
360,258.561851,3.864148,0.984240,0.920000,0.810000,4.598000,5.142000,90405.906250,6654.178223,360.010254,1.028000,2.762805,0.099248,1.001772,71.435591,2.566179,25.902013
380,253.577614,3.940152,0.985120,0.920000,0.820000,4.662000,4.977000,94451.398438,6956.406250,380.053131,1.029000,2.837513,0.107994,0.994330,71.952971,2.738488,25.213993
400,246.699383,4.050151,0.985970,0.930000,0.820000,4.801000,5.060000,98454.078125,7236.617188,400.052765,1.027000,2.933160,0.115527,1.001081,72.360884,2.850054,24.696606
420,240.765726,4.150072,0.986650,0.930000,0.820000,4.924000,5.241000,102378.562500,7518.888184,420.051514,1.026000,3.019242,0.124786,1.005660,72.692995,3.004428,24.212853
440,233.695268,4.275658,0.986960,0.930000,0.820000,5.099000,5.327000,106285.640625,7787.373535,440.049530,1.026000,3.134382,0.134056,1.006769,73.249019,3.132827,23.527714
460,226.320497,4.415177,0.987390,0.930000,0.830000,5.245000,5.495000,110220.515625,8089.642578,460.048401,1.025000,3.259610,0.144537,1.010591,73.771665,3.271163,22.871746
480,218.849164,4.565986,0.988280,0.940000,0.840000,5.417000,5.714000,114114.632812,8385.895508,480.038971,1.025000,3.390333,0.156343,1.018924,74.197148,3.421564,22.299077
500,213.541600,4.679611,0.988850,0.940000,0.860000,5.567000,5.859000,117946.070312,8667.744141,500.043976,1.021000,3.498851,0.165625,1.014658,74.715020,3.536785,21.667179
520,204.122488,4.895659,0.989300,0.940000,0.850000,5.882000,8.502001,121714.976562,8925.451172,520.027832,1.023000,3.684535,0.177701,1.032907,75.209646,3.627282,21.083960
540,195.694154,5.106641,0.989600,0.950000,0.860000,6.133000,7.479001,125508.023438,9207.802734,539.930420,1.026000,3.889135,0.186530,1.030416,76.108101,3.650290,20.164639
560,188.937315,5.289384,0.989970,0.950000,0.860000,6.401000,9.523001,129217.929688,9472.342773,559.904419,1.015000,4.050147,0.197438,1.041248,76.522391,3.730345,19.673057
580,184.504074,5.416596,0.990400,0.950000,0.860000,6.548000,9.832001,132958.812500,9747.525391,580.031128,1.015000,4.147923,0.207989,1.060116,76.530869,3.837473,19.559573
600,180.471779,5.537648,0.990780,0.950000,0.870000,6.691000,9.666000,136592.953125,10012.566406,599.961853,1.019000,4.278001,0.219574,1.039504,77.205851,3.962691,18.760110
620,176.362318,5.666745,0.991140,0.950000,0.870000,6.882000,9.764001,140207.078125,10261.905273,619.980408,1.012000,4.367837,0.231692,1.066607,77.032181,4.086167,18.810924
640,172.543948,5.792266,0.991340,0.950000,0.870000,7.051000,10.258000,143831.281250,10538.107422,639.982910,1.019000,4.500567,0.243432,1.047663,77.654555,4.200264,18.076799
660,169.038987,5.911298,0.991520,0.950000,0.880000,7.206000,9.841001,147428.875000,10776.428711,659.882629,1.019000,4.610678,0.256722,1.043223,77.938429,4.339602,17.634530
680,165.114333,6.050050,0.991770,0.960000,0.880000,7.418000,10.795000,151053.218750,11039.766602,679.985901,1.019000,4.713073,0.268054,1.068212,77.819591,4.425956,17.637712
700,163.088167,6.125509,0.992110,0.960000,0.880000,7.479001,7.966001,154602.515625,11289.177734,699.977905,1.017000,4.816033,0.280363,1.028400,78.543798,4.572386,16.771990
