L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
3800,29.015842,34.460575,0.977830,0.890000,0.750000,40.493000,42.814003,66010.445312,8333.842773,476.537384,477.046000,7.605970,25.591812,1.220711,22.069363,74.256798,3.541996
4000,27.120942,36.868546,0.978760,0.890000,0.760000,43.255001,45.771004,68901.007812,8686.480469,501.451538,501.948000,7.216976,28.367996,1.240102,19.573118,76.936677,3.363274
4500,18.436752,54.236156,0.980860,0.900000,0.770000,64.742004,68.592003,76020.781250,9550.942383,563.838257,564.448000,17.780146,35.085860,1.313195,32.780814,64.686930,2.421105
5000,17.473305,57.226826,0.982580,0.910000,0.790000,66.834000,70.212006,82999.406250,10398.715820,626.259888,626.744000,12.545337,43.316810,1.302844,21.920850,75.688786,2.276499
5500,15.150262,66.002129,0.984250,0.910000,0.800000,76.997002,81.870003,89848.085938,11229.887695,688.630676,689.263000,12.365871,52.227067,1.343382,18.734619,79.125376,2.035259
6000,12.983857,77.015320,0.985440,0.920000,0.810000,89.263000,95.004005,96600.101562,12052.077148,751.079773,751.556000,13.258856,62.291181,1.392289,17.215108,80.877979,1.807728
6500,11.321516,88.324028,0.986420,0.930000,0.820000,103.514008,109.808006,103243.890625,12862.856445,813.476685,814.082000,14.138618,72.656946,1.449568,16.007059,82.258679,1.641131
7000,9.938461,100.615768,0.987390,0.930000,0.840000,116.672005,125.257004,109812.734375,13653.388672,875.922546,876.402000,15.009330,84.014882,1.506358,14.916964,83.497860,1.497088
7500,8.473490,118.011597,0.988220,0.940000,0.840000,137.226013,147.620010,116293.546875,14430.005859,938.348022,938.971000,20.057060,96.281186,1.592329,16.995329,81.583765,1.349259
8000,7.594609,131.669037,0.988910,0.940000,0.840000,152.554001,160.312012,122711.664062,15200.306641,1000.793396,1001.269000,20.598230,109.357462,1.625938,15.643550,83.052713,1.234836
8500,6.868402,145.591003,0.989710,0.950000,0.860000,167.997009,178.998001,129049.773438,15966.093750,1063.243286,1063.869000,20.545170,123.289222,1.665403,14.111249,84.679992,1.143866
9000,6.218972,160.794998,0.990330,0.950000,0.860000,185.259003,197.321014,135315.640625,16713.863281,1125.696655,1126.171000,20.426396,138.537190,1.733231,12.703119,86.155895,1.077891
9500,5.606892,178.348663,0.990830,0.950000,0.870000,205.401016,216.321014,141514.671875,17450.644531,1188.144775,1188.733000,21.359111,155.096895,1.789967,11.975824,86.961160,1.003615
10000,5.114552,195.517212,0.991320,0.950000,0.870000,225.179016,238.419006,147649.343750,18184.685547,1250.615234,1251.069000,21.985013,171.591237,1.833041,11.244349,87.761234,0.937518
