L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,96.668524,10.341233,0.919740,0.670000,0.520000,16.938002,20.975000,16208.178711,2575.966064,93.977379,1.065000,8.799207,0.010034,1.531571,85.060637,0.096993,14.805472
100,393.644773,2.536989,0.919730,0.660000,0.510000,3.619000,4.219000,16173.653320,2578.510010,93.861504,1.067000,1.600328,0.010072,0.926386,62.996093,0.396479,36.466687
100,425.817344,2.345052,0.920230,0.670000,0.510000,3.390000,4.076000,16191.264648,2576.127197,94.000877,1.082000,1.396201,0.009949,0.938671,59.452656,0.423655,39.970254
100,415.604951,2.402717,0.919390,0.660000,0.520000,3.287000,3.806000,16183.673828,2576.245117,93.978882,1.076000,1.450215,0.010003,0.942253,60.271648,0.415714,39.160506
100,482.267626,2.070163,0.919970,0.670000,0.500000,2.866000,3.385000,16207.741211,2577.369141,94.151131,1.052000,1.138201,0.009969,0.921774,54.891738,0.480761,44.454183
100,472.990999,2.110878,0.920290,0.670000,0.510000,2.904000,3.503000,16187.868164,2577.288086,94.079758,1.066000,1.166077,0.009856,0.934653,55.154410,0.466179,44.208248
100,571.900042,1.745205,0.919470,0.670000,0.510000,2.328000,3.034000,16195.309570,2573.812012,94.174881,1.060000,0.836165,0.009773,0.899054,47.820277,0.558932,51.416919
120,390.275842,2.558924,0.930120,0.700000,0.540000,3.865000,5.343000,19117.265625,2979.410156,114.464378,1.074000,1.607123,0.012392,0.939192,62.722143,0.483622,36.654378
140,333.713715,2.993194,0.938510,0.730000,0.570000,4.274000,5.263000,21921.044922,3365.776123,134.279633,1.048000,2.015109,0.014848,0.962938,67.246953,0.495514,32.134564
160,331.777395,3.010649,0.944720,0.750000,0.590000,3.986000,4.870000,24710.857422,3747.745117,154.811005,1.052000,2.031748,0.017618,0.961022,67.408800,0.584531,31.884550
180,325.209327,3.071562,0.949770,0.770000,0.620000,4.091000,4.688000,27414.246094,4112.390137,175.194260,1.057000,2.067957,0.020728,0.982646,67.251904,0.674082,31.956549
200,333.196675,2.997839,0.953660,0.780000,0.630000,3.868000,4.335000,30030.906250,4468.916016,195.408005,1.043000,1.992912,0.023448,0.981176,66.403159,0.781295,32.692471
220,327.399831,3.050993,0.957120,0.790000,0.640000,3.962000,4.633000,32603.585938,4816.857422,215.608383,1.047000,2.034817,0.027133,0.988796,66.619889,0.888326,32.373172
240,327.663058,3.048549,0.960370,0.800000,0.660000,3.834000,4.149000,35116.113281,5154.621094,235.693390,1.048000,2.013150,0.030260,1.004904,65.963496,0.991503,32.927001
