L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,789.427918,1.266135,0.982540,0.930000,0.880000,1.885000,2.005000,14120.707031,2371.465088,78.789879,1.016000,1.074521,0.009117,0.182481,84.825711,0.719731,14.405526
125,657.096574,1.521202,0.988000,0.950000,0.910000,2.245000,2.377000,17376.416016,2797.033203,103.295753,1.008000,1.321281,0.011828,0.188087,86.820950,0.777195,12.359147
150,567.498999,1.761533,0.991090,0.960000,0.920000,2.561000,2.724000,20502.257812,3209.492188,128.459137,1.005000,1.554815,0.015064,0.191624,88.235572,0.854867,10.874639
175,499.376152,2.001870,0.993260,0.970000,0.940000,2.865000,3.038000,23483.201172,3609.582275,153.715500,1.006000,1.786067,0.018247,0.197536,89.191915,0.911194,9.864464
200,447.588768,2.233543,0.994740,0.970000,0.940000,3.169000,3.350000,26352.097656,3988.853271,179.868378,1.010000,2.008812,0.021377,0.203235,89.912167,0.956793,9.096566
225,408.848890,2.445255,0.995580,0.980000,0.950000,3.439000,3.642000,29089.531250,4346.347168,206.078506,1.012000,2.210853,0.026002,0.208300,90.390484,1.063106,8.516317
250,376.073876,2.658450,0.996380,0.980000,0.960000,3.708000,3.902000,31737.048828,4698.410156,232.640381,1.008000,2.415643,0.029764,0.213046,90.846022,1.119344,8.012106
275,349.705340,2.858939,0.996880,0.980000,0.960000,3.975000,4.233000,34203.867188,5027.295410,258.210022,1.010000,2.608410,0.033910,0.216554,91.217478,1.185860,7.573015
300,326.545284,3.061715,0.997250,0.990000,0.960000,4.230000,4.465000,36618.695312,5350.935059,283.993774,1.009000,2.802814,0.038029,0.220822,91.524562,1.241818,7.210834
325,307.657377,3.249742,0.997470,0.990000,0.970000,4.464000,4.662000,38912.601562,5654.344238,309.341522,1.006000,2.982060,0.042940,0.224670,91.745274,1.321085,6.912151
350,291.182487,3.433625,0.997700,0.990000,0.970000,4.706000,4.904000,41129.554688,5946.529297,334.621643,1.005000,3.158072,0.048131,0.227331,91.957512,1.401504,6.619485
375,276.352782,3.617923,0.997910,0.990000,0.970000,4.946000,5.141000,43283.867188,6226.285156,359.819519,1.007000,3.334568,0.052487,0.230716,92.151721,1.450503,6.375907
400,263.766596,3.790586,0.998060,0.990000,0.970000,5.169000,5.400000,45348.031250,6498.359375,384.662903,1.004000,3.496797,0.058553,0.235188,92.233814,1.544419,6.203468
425,251.979607,3.967948,0.998190,0.990000,0.970000,5.408000,5.661000,47367.613281,6764.764160,409.476135,1.008000,3.663223,0.064367,0.240204,92.305738,1.621913,6.052653
450,241.589420,4.138616,0.998380,0.990000,0.970000,5.617000,5.846000,49354.968750,7022.796387,434.436401,1.004000,3.821252,0.070639,0.246599,92.317397,1.706572,5.957581
475,232.032433,4.309150,0.998440,0.990000,0.970000,5.815000,6.100000,51311.847656,7275.337402,459.342010,1.005000,3.982131,0.077139,0.249830,92.398349,1.789884,5.796878
500,223.450375,4.474644,0.998590,0.990000,0.970000,6.034000,6.301000,53206.515625,7525.621582,484.084137,1.007000,4.136106,0.083927,0.254511,92.421439,1.875350,5.687050
525,215.437409,4.641060,0.998680,0.990000,0.970000,6.263000,6.571000,55076.597656,7771.653320,508.857269,1.007000,4.290921,0.090430,0.259631,92.442485,1.948191,5.593421
550,208.220080,4.801985,0.998800,0.990000,0.980000,6.489000,6.724000,56899.269531,8009.767578,533.527405,1.004000,4.443037,0.097194,0.261696,92.512943,2.023768,5.449043
575,201.726398,4.956616,0.998870,0.990000,0.980000,6.671000,6.969000,58683.812500,8231.515625,558.158142,1.003000,4.586122,0.104911,0.265530,92.514178,2.116334,5.356448
600,195.335080,5.118760,0.998920,0.990000,0.980000,6.885000,7.171000,60445.121094,8462.693359,582.786377,1.006000,4.737767,0.111254,0.269692,92.545200,2.173190,5.268039
