L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,avg_merge,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
100,921.157201,1.084991,0.971250,0.910000,0.850000,1.797000,1.981000,10582.912109,2103.954102,54.013752,1.009000,0.814651,0.007678,0.262704,75.042121,0.707289,24.199137
100,925.700191,1.079325,0.971310,0.910000,0.850000,1.778000,1.991000,10580.176758,2100.843994,53.995251,1.004000,0.808549,0.007957,0.262838,74.847434,0.736600,24.330930
100,924.927560,1.080514,0.971410,0.910000,0.850000,1.776000,1.965000,10586.033203,2102.703125,54.031002,1.005000,0.809834,0.007973,0.262721,74.903779,0.737441,24.299817
100,924.854827,1.080662,0.971300,0.910000,0.850000,1.780000,1.979000,10582.593750,2101.935059,54.002377,1.005000,0.810428,0.007884,0.262419,74.952794,0.729114,24.269902
100,924.940642,1.080529,0.971380,0.910000,0.850000,1.776000,1.968000,10582.207031,2100.757080,54.014126,1.007000,0.809651,0.007943,0.262961,74.887924,0.734650,24.322345
100,925.498494,1.079916,0.971320,0.910000,0.850000,1.789000,1.973000,10589.565430,2100.256104,54.062004,1.006000,0.809131,0.007924,0.262962,74.884944,0.733328,24.337125
125,767.402154,1.302450,0.982370,0.940000,0.890000,2.119000,2.335000,13447.736328,2476.732178,73.414001,1.004000,1.022903,0.010448,0.269130,78.497794,0.801744,20.653075
150,655.098783,1.525902,0.987760,0.950000,0.910000,2.468000,2.677000,16295.962891,2848.657227,94.047379,1.005000,1.238865,0.013081,0.273975,81.157889,0.856940,17.948093
175,571.726583,1.748449,0.991230,0.960000,0.920000,2.777000,2.980000,19144.841797,3225.816162,116.145752,1.007000,1.451273,0.016091,0.281132,82.973133,0.919985,16.073036
200,507.221204,1.970900,0.993300,0.970000,0.940000,3.105000,3.319000,21934.404297,3589.129150,139.218628,1.003000,1.663570,0.018929,0.288323,84.379818,0.960143,14.624362
225,457.017109,2.187483,0.994850,0.970000,0.960000,3.383000,3.616000,24708.082031,3948.736084,163.418640,1.001000,1.869401,0.022212,0.295846,85.434834,1.015128,13.520679
250,415.965429,2.403458,0.995750,0.980000,0.960000,3.670000,3.899000,27456.205078,4313.187012,188.649887,1.001000,2.073605,0.025986,0.303857,86.254792,1.080926,12.639404
275,381.841447,2.618275,0.996530,0.980000,0.970000,3.949000,4.158000,30152.833984,4668.359375,214.519379,1.002000,2.278971,0.029837,0.309349,87.020566,1.139296,11.812238
300,353.365193,2.829300,0.996910,0.980000,0.960000,4.214000,4.441000,32794.484375,5022.335449,240.904892,1.003000,2.479369,0.033802,0.316050,87.612259,1.194429,11.168117
325,329.119668,3.037758,0.997400,0.990000,0.970000,4.477000,4.717000,35379.757812,5366.328125,267.732269,1.005000,2.679241,0.038076,0.320444,88.179081,1.253169,10.546446
350,308.793281,3.237770,0.997690,0.990000,0.970000,4.728000,4.976000,37882.578125,5695.383301,294.839264,1.003000,2.870614,0.042117,0.324946,88.642626,1.300541,10.034112
375,290.559693,3.441021,0.997900,0.990000,0.970000,4.941000,5.221000,40344.824219,6025.696289,322.335144,1.005000,3.062951,0.047013,0.330962,88.997013,1.366010,9.616434
400,275.300060,3.631764,0.998000,0.990000,0.970000,5.153000,5.474000,42674.902344,6328.441406,349.332520,1.007000,3.243227,0.052014,0.336481,89.286072,1.431942,9.263333
425,261.523277,3.823106,0.998170,0.990000,0.970000,5.400000,5.697001,44964.835938,6635.019531,376.604889,1.007000,3.424064,0.057018,0.341936,89.547254,1.491161,8.942419
450,249.439845,4.008355,0.998270,0.990000,0.970000,5.616000,5.926000,47223.480469,6928.408203,404.165527,1.005000,3.597201,0.062587,0.348457,89.728535,1.561164,8.691902
475,238.343215,4.195043,0.998380,0.990000,0.970000,5.839000,6.138000,49440.027344,7226.703125,431.781281,1.003000,3.772926,0.067931,0.354165,89.925134,1.619099,8.441279
500,228.499244,4.375737,0.998530,0.990000,0.980000,6.046000,6.333000,51548.464844,7504.986328,458.472260,1.005000,3.940456,0.074181,0.361016,90.039131,1.695032,8.249189
525,219.594736,4.553205,0.998670,0.990000,0.980000,6.256001,6.554000,53634.445312,7780.238281,485.797913,1.005000,4.108576,0.079565,0.364836,90.222162,1.747212,8.011611
550,211.463532,4.728303,0.998750,0.990000,0.980000,6.468000,6.770000,55642.488281,8045.202148,512.194153,1.003000,4.272970,0.085933,0.369304,90.357732,1.817179,7.809442
575,204.214718,4.896202,0.998840,0.990000,0.980000,6.670001,6.990000,57594.343750,8303.759766,538.979797,1.002000,4.429109,0.092838,0.374139,90.448926,1.895894,7.640466
600,197.725793,5.056890,0.998910,0.990000,0.980000,6.862000,7.182000,59469.484375,8552.644531,564.893799,1.003000,4.577267,0.100360,0.379177,90.504373,1.984384,7.497309
